"Time","experimental-project-8457b5d6f6-bwdmb / app-namespace / PKG","experimental-project-8457b5d6f6-bwdmb / app-namespace / DRAM","experimental-project-8457b5d6f6-bwdmb / app-namespace / OTHER","experimental-project-8457b5d6f6-bwdmb / app-namespace / GPU"
2025-03-03 11:59:48,0.883,0,4.85,0
2025-03-03 11:59:50,0.883,0,4.85,0
2025-03-03 11:59:52,0.883,0,4.85,0
2025-03-03 11:59:54,0.883,0,4.85,0
2025-03-03 11:59:56,0.883,0,4.85,0
2025-03-03 11:59:58,0.883,0,4.85,0
2025-03-03 12:00:00,0.883,0,4.85,0
2025-03-03 12:00:02,0.883,0,4.85,0
2025-03-03 12:00:04,0.883,0,4.85,0
2025-03-03 12:00:06,0.883,0,4.85,0
2025-03-03 12:00:08,0.883,0,4.85,0
2025-03-03 12:00:10,0.884,0,4.98,0
2025-03-03 12:00:12,0.884,0,4.98,0
2025-03-03 12:00:14,0.884,0,4.98,0
2025-03-03 12:00:16,0.884,0,4.98,0
